Client,Source,Date,Review,Positive Category,Positive Subcategory,Negative Category,Negative Subcategory
The Cleaning Authority,Google,a year ago,"The cleaning authority in San Jose are very nice people. They are very gracious as they asked me how I wanted the house to be cleaned. Or I should say they told me how they were going to clean it but they were very nice about it. Everyone there is very good at what they do. The house turned out to be very very clean. I'm visually impaired, or in other words totally blind. But I could tell that they did a very good job and it was confirmed by a sighted person. They took their time and cleaning the bathroom, the kitchen, they vacuumed very thoroughly. They also did the blinds and the windows. They clean the counters very well and also cleaned the stove. Thank you very much",quality of cleaning;professionalism/service;efficiency/speed,cleanliness;friendliness;thoroughness;efficient work,,
The Cleaning Authority,Google,2 years ago,I have used The Cleaning Authority of San Jose for several months. They are responsive to phone calls when I need to make changes and the cleaners are respectful and efficient.,professionalism/service;efficiency/speed,responsiveness;respectfulness;efficient work,,
The Cleaning Authority,Google,2 years ago,"Always happy with the team’s work, never once been let down",quality of cleaning,thoroughness,,
The Cleaning Authority,Google,2 years ago,"For the most part, the cleaning people did a good job. I had some comments:
1) I was surprised I had to ask them to put booties on their feet.
2) They missed a lot of dust.
3) What ever they used to clean the painted surfaces was quite abrasive. I suspect they ised Mr. Clean magic eraser pads because I saw bits of them on the kitchen floor. Now my nice painted cabinets and window sills have acratches on them. This is almost worth marking down two stars.",,,quality of cleaning;professionalism/service,missed spots;damage to property;unprofessional behavior
The Cleaning Authority,Google,2 years ago,"Efficient, thorough, and focused",efficiency/speed;quality of cleaning,efficient work;thoroughness,,
The Cleaning Authority,Google,2 years ago,The pair of women who take care of us are very good. They follow our instructions perfectly. It’s great to get the same team every time.,professionalism/service,friendliness;reliability,,
The Cleaning Authority,Google,2 years ago,Nice job always,,,,
The Cleaning Authority,Google,2 years ago,They were better this week,,,,
The Cleaning Authority,Google,2 years ago,fantastic job,,,,
The Cleaning Authority,Google,2 years ago,"Fantastic job!  Very professional, and great team from the estimate to the cleaning… thank you!",professionalism/service,friendliness;customer service,,
The Cleaning Authority,Google,2 years ago,Clotilde and Lucero did a fantastic job today. 👏,quality of cleaning,thoroughness;spotless results,,
The Cleaning Authority,Google,3 years ago,The ladies always do a thorough job. The house smells do  clean when they leave. Was grateful for the phone call the day before. I don’t do well with spps so the personal phone call was much appreciated.,quality of cleaning;professionalism/service,thoroughness;cleanliness;communication,,
The Cleaning Authority,Google,3 years ago,"It has been many years since I initially used The Cleaning Authority , and I am so happy to be able to have them back. I came home from work to the cleanest house I have had in years. Just walking in relieved so much stress and anxiety for me. Their services far exceed any other cleaning service I have used including myself. Highly recommend them!!!!",quality of cleaning;professionalism/service,cleanliness;thoroughness;customer service,,
The Cleaning Authority,Google,3 years ago,"TCA came to do a deep clean for me for the first time since Covid started.  After 2 years of no deep clean, they had their work cut out for them!  The friendly and professional team did an amazing job for a good price.  My house looks great.  I look forward to future cleanings with TCA.

Also, I love that I could schedule online with them and that rescheduling (which I had to do) was a breeze.",quality of cleaning;professionalism/service;value/price;efficiency/speed,deep cleaning;friendliness;good value for money;quick service;booking options,,
The Cleaning Authority,Google,3 years ago,"Very professional, on time, kind and courteous and did a wonderful job with the cleaning! We are very picky about how our house is cleaned and we were very happy with their work. Highly recommend.",professionalism/service;efficiency/speed;quality of cleaning,friendliness;punctuality;thoroughness,,
The Cleaning Authority,Google,3 years ago,"Kevin, as they were driving off I realized I hadn't given them a check.  I
'will put it in the mail tomorrow.  They were here for one hour, and to meet my expectations they would have had to be here longer.  When I walked back into my house from being in the garage, I heard my toilet running and vacuum marks were zigzagging all over the living room.",,,efficiency/speed;quality of cleaning,incomplete work;poor attention to detail
The Cleaning Authority,Google,3 years ago,My house looks the best it has since we moved in! I keep finding new things they cleaned that I was not expecting to be covered (guys they wiped off my shampoo bottles). I am very very impressed!,quality of cleaning;professionalism/service,thoroughness;attention to detail;friendliness,,
The Cleaning Authority,Google,3 years ago,The crew was extremely professional and attentive.  They worked hard and did a fabulous job.  Thank you!,professionalism/service;quality of cleaning,friendliness;attention to detail;thoroughness,,
The Cleaning Authority,Google,3 years ago,I have been using them for years. Lupe and Victorina do a wonderful job. I have three dogs and a cat and when they come there’s not a hair to be seen. The owner has been wonderful over the years he really cares about his employees. Customer service has been great.,quality of cleaning;professionalism/service,thoroughness;cleanliness;customer service,,
The Cleaning Authority,Google,3 years ago,Cleaning team was polite and thorough ... They did a pretty good job!,quality of cleaning;professionalism/service,thoroughness;friendliness,,
The Cleaning Authority,Google,3 years ago,"We have been using them every other week for about a year for my home and another family member’s home and we are grateful and satisfied with their cleaning. The office lets us know when they are coming ( regularly at around the same time). The ladies who clean for us are respectful, kind, and professional. I look forward to that clean house feeling our crew leaves for us as they depart.",quality of cleaning;professionalism/service,cleanliness;friendliness;communication,,
The Cleaning Authority,Google,3 years ago,"The Cleaning Authority cleaners are always friendly, respectful, and fast!  They do a great job every time.",professionalism/service;efficiency/speed;quality of cleaning,friendliness;quick service;thoroughness,,
The Cleaning Authority,Google,3 years ago,"Veronica and Margarita walked into a house that had not been cleaned in over 1 1/2 years. The DUST was unbelievable and the bathrooms were full of Black Mold in the showers and the toilets. They stayed at the job until everything was cleaned and dusted, and they were able to get the mold out of the shower and the toilets. The owner, Kevin, was very responsive to my phone calls and accommodated my cleaning in a short time. Highly recommend this company and their cleaners. Thank you to them!",quality of cleaning;professionalism/service,thoroughness;responsiveness,,
The Cleaning Authority,Google,3 years ago,Ana & Elisabet do a great job. Owner is easy to work with and they have been very reliable. Good work for fair price.,professionalism/service;value/price,friendliness;reliability;reasonable pricing;good value for money,,
The Cleaning Authority,Google,3 years ago,They are always polite and efficient. Very easy to work with and do an excellent job. It's great to know my home is clean and I can trust them!,professionalism/service;efficiency/speed;quality of cleaning;trustworthiness,friendliness;efficient work;cleanliness;reliability,,
The Cleaning Authority,Google,4 years ago,"The cleaning team was helpful, respectful. and very thorough. They add a bit of light to a very ordinary day. Thanks team.",professionalism/service;quality of cleaning,friendliness;thoroughness,,
The Cleaning Authority,Google,4 years ago,Cleaner,,,,
The Cleaning Authority,Google,4 years ago,"I go into my home office to work, come out an hour and a half later, and my house is sparkling clean and smells wonderful!",quality of cleaning;efficiency/speed,spotless results;quick service,,
The Cleaning Authority,Google,4 years ago,"I've been using the cleaning authority in San Jose for close to 3 years. I love my cleaning team, Margarita and Veronica are the best! They are careful with our things and they are attentive to special requests. The management is great and …",professionalism/service;specific tasks,friendliness;attention to detail;special requests,,
The Cleaning Authority,Google,4 years ago,"Well done! Bed is made, floors are clean, bathrooms are smelling great!",quality of cleaning,cleanliness;spotless results,,
The Cleaning Authority,Google,4 years ago,"Reliable team, friendly and on time and they do an amazing job. Very thorough and quick. We’ve been using them for almost two years and are so happy with the service they provide.",professionalism/service;efficiency/speed;quality of cleaning,friendliness;punctuality;thoroughness;quick service,,
The Cleaning Authority,Google,4 years ago,We’d like to thank Celina and Octaviana for their professional service every time. During the pandemic it really means a lot to us.,professionalism/service,friendliness;customer service,,
The Cleaning Authority,Yelp,"Mar 19, 2025","The cleaning quality is always ""good,"" at a minimum.  And they (Leah) ALWAYS get back to me promptly if I need to change the date or type of cleaning.  Their customer service is outstanding!",quality of cleaning;professionalism/service,cleanliness;responsiveness;customer service,,
The Cleaning Authority,Yelp,"Aug 14, 2024",This is based solely on the fact that I cannot get a reply from anyone. I tried a few times to get an online estimate with no response. I called the office when I had time and spoke to someone who took my info and said she would have someone get back to me...I never heard back!,,,professionalism/service,poor communication;lack of responsiveness
The Cleaning Authority,Yelp,"Mar 27, 2023","They cost me thousands of dollars in damage of my perfectly good hardwood floors. They never called to discuss the problem all before 5 o'clock when the office was supposedly still open. DO NOT USE THIS FRANCHISE!!To follow up.. they still did not return any of my calls until I called again the following morning at 11:05. They felt I was too upset.. my hardwood floors are destroyed, they don't return calls and still NOT RESPONDING",,,quality of cleaning;professionalism/service;trustworthiness,damage to property;poor communication;lack of responsiveness;dishonesty
The Cleaning Authority,Yelp,"Sep 3, 2020","I have had this company cleaning for me for a couple years and I'm always satisfied. Maria A, Maria P and Sonia were here today.  It feels so good to walk in repeatedly today to a squeaky clean home. They show up on time, company will reschedule if needed and are respectful of my kids doing school from home .",quality of cleaning;professionalism/service;efficiency/speed,cleanliness;punctuality;responsiveness,,
The Cleaning Authority,Yelp,"Aug 26, 2020","After my regular housecleaners vanished.  I asked friends for housecleaning service recommendations and The Cleaning Authority of San Jose was recommended by few.  I called, Pam answered and asked what my needs were and discussed pricing options.  Saray and Victorina are a great team, they arrived on time and cleaned per my instructions to Pam.  If I need any additional cleaning, I call in advance and S & V team do a great job.",professionalism/service;efficiency/speed;quality of cleaning,friendliness;communication;responsiveness;punctuality;thoroughness;attention to detail,,
The Cleaning Authority,Yelp,"Aug 21, 2020","They have been cleaning our home for the past 18 months and do a wonderful service. Their rates are reasonable and the cleaning crew that they send every time is prompt, courteous and professional. We love Maria A, Maria R and Sonia. They are so friendly and with smiles all the time.Kevin and Pam have been wonderful when it comes to communicating with us regarding the cleaning service and go above and beyond to make sure that we are satisfied. I unconditionally recommend this place for your house cleaning needs.Thanks Kevin, Pan, Maria's A&R and Sonia for taking care of our house. We sincerely appreciate it.",value/price;professionalism/service;efficiency/speed;trustworthiness,reasonable pricing;friendliness;communication;quick service;reliability;favorite worker,,
The Cleaning Authority,Yelp,"Aug 19, 2020","We have been using their services for almost three years and are very satisfied customers.  The owner, Kevin, is professional and responsive.  Special call-out to our team: Sonia, Maria and Maria, who are awesome!  They do a thorough, efficient job cleaning our home, leaving the place sparkling clean.  They pay attention to details and work carefully, but also quickly.  Besides that, as another reviewer mentioned, they are also three beautiful souls; very kind and sweet individuals  whom we always look forward to seeing.  In addition, they take all measures to disinfect, wear masks, etc. in light of covid.  Highly recommended!",quality of cleaning;professionalism/service;efficiency/speed,thoroughness;responsiveness;attention to detail;cleanliness;quick service,,
The Cleaning Authority,Yelp,"Aug 18, 2020","I have been using Cleaning Authority to clean my home for several years now.  They have been consistent and do a great job.  I ask for the same ladies for my cleanings even if I happen to have to cancel and reschedule.  Maria A, Maria R and Sonia are my ladies and are the sweetest women.  I look forward  to seeing them every other week when they are here.  I have enjoyed getting to know them too.  Kevin has always kept me up to date on my schedule and reached out asap if it were to change on his end.  Really like the app that the company has now added, shows you all your cleanings, payments, etc.  Highly recommend.",quality of cleaning;professionalism/service;trustworthiness,thoroughness;friendliness;communication;responsiveness;customer service;booking options;payment options;reliability,,
The Cleaning Authority,Yelp,"Aug 16, 2020",Recently decided to hire a house cleaner after stopping because of COVID .  I decided to try The Cleaning Authority because they are following strict COVID guidelines and it made me feel comfortable with cleaners coming into my home.  We had Kim and Lupe clean our home and they did an outstanding job paying attention to details.  My kitchen and bathroom were very clean after they left.  They arrived on time and worked hard.   Working with Pam was a pleasure she made sure to listen to my needs and communicate them to her team.  Will continue to use this company.,quality of cleaning;professionalism/service;efficiency/speed,attention to detail;cleanliness;punctuality;friendliness;communication,,
The Cleaning Authority,Yelp,"Aug 15, 2020",Victorina Saray and Alma are a great team for Cleaning Authority.  previously the team that came in was  rushed and not did not pay attention to detail. But these three ladies did pay attention to what I wanted done and I was happy with the cleanliness of my house.,quality of cleaning;professionalism/service,attention to detail;cleanliness;friendliness,professionalism/service,poor attention to detail
